config,config_family,noise_pct,perturbation,perturb_label,n_samples,wer_gt_1,wer_gt_2,wer_gt_5,wer_gt_10,wer_gt_20,wrong_fluent_rate
base,base,0,leading_silence_amp0.0_dur1.0,"leading_silence
amp=0, dur=1",1000,0.007,0.001,0.001,0.001,0.0,0.004
base,base,0,leading_silence_amp0.0_dur3.0,"leading_silence
amp=0, dur=3",1000,0.01,0.001,0.001,0.001,0.0,0.006
base,base,0,silence_amp0.0_dur0.0,"silence
amp=0, dur=0",1000,0.0,0.0,0.0,0.0,0.0,0.0
base,base,0,speech_band_noise_amp0.5_dur0.0,"speech_band_noise
amp=0.5, dur=0",1000,0.017,0.002,0.001,0.001,0.0,0.011
