family,condition,condition_label,n_samples,mean_wer,mean_wacc,mean_cosine_similarity,mean_bleu,mean_bigram_rep_count,mean_trigram_rep_count,mean_fourgram_rep_count,fluency,fluency_source,delta_wer,delta_wacc,delta_fluency,delta_trigram_rep_count
Whisper 64%,base,Base,16396,0.1314136929820308,0.8727373606551782,0.8962180507492516,0.7918843305460747,0.03348377653086119,0.01628445962429861,0.014210783117833617,0.8658364617260637,Qwen3-0.6B,0.0,0.0,0.0,0.0
Whisper 64%,RR,RR,16396,0.13837860250519163,0.8616213974948085,0.8919246245646666,0.7846304232470441,0.06092949499878019,0.04342522566479629,0.040314710905098805,0.8564903705082368,Qwen3-0.6B,0.006964909523160839,-0.011115963160369668,-0.009346091217826813,0.027140766040497682
Whisper 64%,RU,RU,16396,0.13602370171305755,0.8639762982869423,0.8906027808255819,0.7834006483382744,0.023481336911441816,0.006282020004879239,0.003842400585508661,0.8575502679831484,Qwen3-0.6B,0.004610008731026766,-0.008761062368235817,-0.008286193742915282,-0.010002439619419372
Whisper 64%,UR,UR,16396,0.41925670834099577,0.5807432916590042,0.7286112388040771,0.6420327982592254,0.24737740912417663,0.119236399121737,0.0028665528177604293,0.8084912312153338,Qwen3-0.6B,0.28784301535896495,-0.29199406899617397,-0.05734523051072982,0.10295193949743839
Whisper 64%,UU,UU,16396,0.1377880402801049,0.8622119597198952,0.8897189331475984,0.7818265663313174,0.024213222737252987,0.006038058062942181,0.0035374481580873383,0.8561689694528302,Qwen3-0.6B,0.006374347298074123,-0.01052540093528298,-0.009667492273233491,-0.010246401561356429
fairseq 8%,base,Base,11112,0.1202096050873051,0.879790394912695,0.9051258489746026,0.7965078783245991,0.3802195824334053,0.2153527717782577,0.1808855291576674,0.8144897861674616,Qwen3-0.6B,0.0,0.0,0.0,0.0
fairseq 8%,RR,RR,11112,0.177385465884623,0.822614534115377,0.8791067532893826,0.7387789194138467,0.4877609791216702,0.3035457163426925,0.2489200863930885,0.7765521589780234,Qwen3-0.6B,0.0571758607973179,-0.05717586079731796,-0.03793762718943816,0.0881929445644348
fairseq 8%,RU,RU,11113,0.1332163258848099,0.8667836741151901,0.8924066015910416,0.7733744353355234,0.2171330873751462,0.0649689552776028,0.0416629173040583,0.7859231910313267,Qwen3-0.6B,0.013006720797504784,-0.013006720797504867,-0.02856659513613491,-0.1503838165006549
fairseq 8%,UR,UR,11113,0.3337615117089668,0.6662384882910332,0.8475388516464523,0.7302556567485156,0.2372896607576712,0.0550706379915414,0.039683253846846,0.8226378820199647,Qwen3-0.6B,0.21355190662166168,-0.2135519066216618,0.00814809585250309,-0.1602821337867163
fairseq 8%,UU,UU,11113,0.1503794459911326,0.8496205540088674,0.8790423326349119,0.7487699582469235,0.1900476918923783,0.0485017547017007,0.0290650589399802,0.7641974357284447,Qwen3-0.6B,0.03016984090382749,-0.03016984090382757,-0.05029235043901692,-0.166851017076557
